name;manufacturer;address_manufacturer;num_order;date_resolution;organization;address_organization;type;class;manufacture_place;trial_organization;trial_address;status
Салфетка медицинская сорбционная стерильная по ТУ 32.50.50-014-14959781-2019;ООО 'ЭВТЕКС';153025, Россия, г. Иваново, ул. Тимирязева, д. 1, оф. 18, Россия;537/2020;27.07.2020;ООО 'ЭВТЕКС';153025, Россия, г. Иваново, ул. Тимирязева, д. 1, оф. 18;223580,3029;2а;ООО 'ЭВТЕКС', Россия, 155040, Ивановская область, г. Тейково, ул. Западная, д. 8;;;2021-01-15 Завершено
Имплантаты стоматологические NOVA IMPLANTS с принадлежностями;'Нова Имплантс Лтд.';, Израиль, Nova Implants Ltd., 5 Yoni Netanyahu St., Or Yehuda, 6037603, Israel, Израиль;834/2015;18.09.2015;ООО 'Гранта';196626, Россия, г. Санкт-Петербург, п. Шушары, ул. Первомайская, д. 16, лит. А, пом. 16-Н;120500;2б;5 Yoni Netanyahu St., Or Yehuda, 6037603, Israel;;;2015-12-16 Завершено
Система ультразвуковая диагностическая медицинская Voluson P8 с принадлежностями;'ДжиИ Ультрасаунд Корея., Лтд.';, Корея, GE Ultrasound Korea Ltd., 9, Sunhwan-ro 214 beon-gil, Jungwon-gu, Seongnam-si, Gyeonggi-do, Republik of Korea, Корея;656/2016;07.07.2016;ООО 'ДжиИ Хэлскеа';123317, Россия, Москва, Пресненская набережная, д. 10;260250;2а;GE Ultrasound Korea Ltd., 9, Sunhwan-ro 214 beon-gil, Jungwon-gu, Seongnam-si, Gyeonggi-do, Republik of Korea;;;2016-08-10 Завершено
Аппарат эндодонтический X-Smart iQ в различных комплектациях с принадлежностями;'МАЙЛЛЕФЕР ИНСТРУМЕНТС ХОЛДИНГ Сарл';, Швейцария, MAILLEFER INSTRUMENTS HOLDING S&#224,rl, 3 chemin du Verger, 1338 Ballaigues, Switzerland, Швейцария;565/2017;24.07.2017;ООО 'Дентсплай Сирона';115432, Россия, Москва, пр-кт Андропова, д. 18, корп. 6, офисы 1 39 40;256310;2а;"1. MAILLEFER INSTRUMENTS HOLDING S&#224,rl, 3 chemin du Verger, 1338 Ballaigues, Switzerland.
2. VDW GmbH, Bayerwaldstra&#223,e 15, 81737, M&#252,nchen, Germany.
3. W & H Dentalwerk B&#252,rmoos GmbH, Ignaz-Glaser-Stra&#223,e 53, 5111 B&#252,rmoos, Austria.
4. Omnia SPA, Via Francesco Del Nevo 190, IT - 43036 Fidenza (PR), Italy.";;;2017-09-25 Завершено
Средство перевязочное гемостатическое, антимикробное 'ГЕМОСПАС® БИО', стерильное по ТУ 21.20.24-001-28216701-2019;ООО 'МЕДИНФАРМ';125252, Россия, Москва, ул. Зорге, д. 36, пом. IX, оф. 2, Россия;535/2020;27.07.2020;ООО 'МЕДИНФАРМ';125252, Россия, Москва, ул. Зорге, д. 36, пом. IX, оф. 2;248420;3;ООО 'МЕДИНФАРМ', Россия, 141402, Московская область, г. Химки, Вашутинское ш., д. 4Д;;;2020-11-13 Завершено
Устройство для жесткой фиксации кости черепа с одновременным закрытием перфорационных отверстий NTCRANIAL в комплекте с кусачками;'НТПЛАСТ СРЛ';, Италия, NTPLAST SRL, Via Frua 24 - 20146 Milano (MI), Italy, Италия;650/2016;07.07.2016;ООО 'Нейротек';360000, Россия, Кабардино-Балкарская Республика, г. Нальчик, ул. Толстого, д. 94;178420;3;NTPLAST SRL, Via Е. Ferrari 49 - 15121 Alessandria (AL), Italy;;;2016-11-11 Завершено
Имплантаты для остеосинтеза позвоночника XIA 3;'Страйкер Спайн, Инк.';, США, Stryker Spine, Inc., 2 Pearl Court, Allendale, New Jersey, 07401, USA, США;564/2017;24.07.2017;ООО 'Страйкер';125167, Россия, Москва, Ленинградский проспект, д. 39, стр. 80;270070;3;"1. Stryker Spine, Inc., 2 Pearl Court, Allendale, New Jersey, 07401, USA.
2. Stryker Spine S.A.S., ZI Marticot, 33610 Cestas, France.
3. Stryker Spine S&#225,rl, Le Cret du Locle 10A, 2300 La Chaux de Fonds, Switzerland.";;;2017-09-22 Завершено
Система компьютерной томографии Aquilion Start (TSX-037A) с принадлежностями;'Канон Медикал Системз Корпорейшн';, Япония, Дальнее зарубежье, Canon Medical Systems Corporation, 1385, Shimoishigami, Otawara-shi, Tochigi 324-8550, Japan, Япония;536/2020;27.07.2020;ООО 'АрПи Канон Медикал Системз';119421, Россия, г. Москва, пр-т Ленинский, д. 111, корп. 1, этаж 5, ком. 129;135190;2б;Canon Medical Systems Corporation, 1385, Shimoishigami, Otawara-shi, Tochigi 324-8550, Japan;;;2021-02-03 Завершено
Наборы для факоэмульсификации для системы офтальмологической хирургической Centurion Vision System;'Алкон Лабораториз, Инк.';, США, Дальнее зарубежье, Alcon Laboratories Inc., 6201 South Freeway, Fort Worth, TX, 76134-2099, USA, США;836/2015;18.09.2015;ООО 'Алкон Фармацевтика';125315, Россия, г. Москва, пр-кт Ленинградский, д. 72, корп. 3;171710;2а;"1. Alcon Laboratories, Inc., 6201 South Freeway, Fort Worth, TX 76134-2099, USA.
2. Alcon Research Ltd., 15800 Alton Parkway, Irvine, CA 92618-3818, USA.
3. Alcon Research Ltd., 20511 Lake Forest Dr., Lake Forest, CA 92630, USA.
4. Alcon Research Ltd., 9965 Buffalo Speedway, Houston, TX 77054-1309, USA.
5. Alcon Research Ltd., 714 Columbia Avenue, Sinking Spring, PA 19608, USA.";;;2015-10-16 Завершено
Модуль системы мониторинга состояния пациента, дыхательный CARESCAPE, варианты исполнения: E-sCO, E-sCOV, E-sCAiO, E-sCAiOV, E-sCAiOE, E-sCAiOVE, E-sCOVX, E-sCAiOVХ с принадлежностями;'ДжиИ Хэлскеа Финланд Ой';, Финляндия, GE Healthcare Finland Oy, Kuortaneenkatu 2, FI - 00510, Helsinki, Finland, Финляндия;651/2016;07.07.2016;ООО 'ДжиИ Хэлскеа';123317, Россия, Москва, Пресненская набережная, д. 10;157210;2б;GE Healthcare Finland Oy, Kuortaneenkatu 2, FI - 00510, Helsinki, Finland;;;2016-07-29 Завершено
Система дентальной имплантации Уэнплант с инструментами в наборах (Dental Implant System Oneplant with the tools in kits);'Варантек Ко., Лтд.';, Республика Корея, Warantec Co., Ltd., #411, #412, 474, Dunchon-daero, Jungwon-gu, Seongnam-si, Gyeonggi-do, 13229, Republic of Korea, Республика Корея;438/2019;04.09.2019;ООО 'МК 'ЭРКАСТОМ XXI';117303, Россия, Москва, ул. Керченская, д. 13, стр. 2;120500;2б;Warantec Co., Ltd., #411, #412, 474, Dunchon-daero, Jungwon-gu, Seongnam-si, Gyeonggi-do, 13229, Republic of Korea;;;2019-11-18 Завершено
Система компьютерной томографии Aquilion Precision (TSX-304A) с принадлежностями;'Канон Медикал Системз Корпорейшн';, Япония, Дальнее зарубежье, Canon Medical Systems Corporation, 1385, Shimoishigami, Otawara-shi, Tochigi 324-8550, Japan, Япония;532/2020;27.07.2020;ООО 'АрПи Канон Медикал Системз';119421, Россия, г. Москва, пр-т Ленинский, д. 111, корп. 1, этаж 5, ком. 129;135190;2б;Canon Medical Systems Corporation, 1385, Shimoishigami, Otawara-shi, Tochigi 324-8550, Japan;;;2020-11-05 Завершено
Аппарат рентгеновский диагностический стационарный «ГРАФИКС» по ТУ 9442-004-40198845-2013;ЗАО 'Апрелевский завод рентгенотехники';143360, Россия, Московская область, Наро-Фоминский район, Апрелевка, ул. Ленина, д. 4, Россия;324/2013;15.11.2013;ЗАО 'Апрелевский завод рентгенотехники';143360, Россия, Московская область, Наро-Фоминский район, Апрелевка, ул. Ленина, д. 4;191220;2б;143360, Московская область, Наро-Фоминский район, г. Апрелевка, ул. Ленина, д. 4;;;2015-08-13 Завершено
Помпа медицинская шприцевая Viva Vesta, варианты исполнения KL-602, KL-702 с принадлежностями;'Бэйцзин КеллиМед Ко., Лтд.';, Китай, Beijing KellyMed Co., Ltd., Room 115, 4# Building, No. 2 Tiyuan West Road, Haidian District, Beijing, 100084, China, Китай;652/2016;07.07.2016;ООО 'МедИнВест';123007, Россия, г. Москва, 2-ой Хорошевский пр., д. 7, корп. 1;229860;2а;Beijing KellyMed Co., Ltd., 2nd Floor, No. 1 Building, No. 2 Jingshengnan Street # 15, Jinqiao Industrial Base, Zhongguancun Science Park Tongzhou Sub-Park, Tongzhou District, China;;;2016-11-17 Завершено
Материал расходный для аппаратов для изготовления безметалловых стоматологических ортопедических реставраций StarCeram® Z;'Эйч. Си. Старк Керамикс ГмбХ';, Германия, H.C. Starck Ceramics GmbH, Lorenz-Hutschenreuther-Str. 81, 95100 Selb, Germany, Германия;432/2019;04.09.2019;ООО 'ТРЕЙД КОМПАНИ';630084, Россия, г. Новосибирск, ул. Трикотажная, д. 55, офис 3;119480;2а;H.C. Starck Ceramics GmbH, Lorenz-Hutschenreuther-Str. 81, 95100 Selb, Germany;;;2019-10-21 Завершено
Презервативы из натурального латекса DuettТМ;'ИНДУС МЕДИКЕР ЛИМИТЕД';, Индия, Дальнее зарубежье, INDUS MEDICARE LTD., 1-10-60/3, SURYODAYA, Begumpet, Hyderabad Telangana, 500 016, India, Индия;533/2020;27.07.2020;ООО 'АЛМАСА';660010, Россия, г. Красноярск, ул. Академика Вавилова, д. 1, стр. 50, корп. 2;136390;2б;INDUS MEDICARE LTD., NH - 7 Ramaipally (Village) Toopran (Mandal), Medak (District) 502 336 Telangana, India;;;2020-09-01 Завершено
Система рентгенографическая  «GAMMA 1С plus» с принадлежностями;'ДжиМИ Дженерал Медикал Италия СРЛ';, Италия, Дальнее зарубежье, GMI GENERAL MEDICAL ITALIA SRL, VIA ITALO DE FEO  105-83100 AVELLINO (AV), Italy, Италия;323;15.11.2013;ООО 'ИПС';123995, Россия, г. Москва, Бережковская набережная, д.20, стр. 13;260350;2б;GMI GENERAL MEDICAL ITALIA SRL, VIA PONTESABATO Z.I. ASI - 83030 PRATA P.U. (AV), Italy;;; 
Зонды радиочастотные электрохирургические с принадлежностями;'Страйкер Эндоскопи', подразделение 'Страйкер Корпорейшн';, США, Stryker Endoscopy, a Division of Stryker Corporation, 5900 Optical Court San Jose, CA 95138, USA, США;653/2016;07.07.2016;ООО 'Страйкер';125167, Россия, г. Москва, Ленинградский проспект, 39, стр. 80;236980;2б;Stryker Puerto Rico, Ltd. Las Gu&#225,simas Ind. Park Highway # 3, km. 131.2, 00714 Arroyo, Puerto Rico;;;2016-09-13 Завершено
Тренажер дыхательный индивидуальный 'MIRON' по ТУ 9444-001-25971035-2015;ООО 'Мирон';634049, Россия, , г. Томск, Иркутский тракт, д. 32, кв. 79, Россия;563/2017;24.07.2017;ООО 'Мирон';634049, Россия, , г. Томск, Иркутский тракт, д. 32, кв. 79;336060;2а;ООО 'Мирон', Россия, 634021, г. Томск, пер. Фруктовый, д.  10В, пом. 1030, 1045;;;2017-09-30 Завершено
Материал для коррекции дефектов кожи с лидокаином LiCOL D-1;'ЧАНГУА МЕДИПАУЭР Ко., Лтд.';, Республика Корея, CHUNGHWA MEDIPOWER Co., Ltd., 114, Nanosandan 2-ro, Nam-myeon, Jangseong-gun, Jeollanam-do, Republic of Korea, Республика Корея;437/2019;04.09.2019;ООО 'МЕДПРОМСЕРТИФИКА';117246, Россия, г. Москва, Научный пр-д, д. 8, стр. 1, ком. 57, помещ. XIV, эт. 2;326400;3;CHUNGHWA MEDIPOWER Co., Ltd., 114, Nanosandan 2-ro, Nam-myeon, Jangseong-gun, Jeollanam-do, Republic of Korea;;; 
Иглы медицинские инъекционные одноразовые SFM для инсулиновых инжекторов;'СФМ Госпитал Продактс ГмбХ';, Германия, Дальнее зарубежье, SFM Hospital Products GmbH, Segelfliegerdamm 67-89, 12487 Berlin, Germany, Германия;534/2020;27.07.2020;ЗАО НПО 'ГАРАНТ';129337, Россия, Москва, ул. Красная Сосна, д. 30, стр. 1;137610;2а;SFM Hospital Products GmbH, Segelfliegerdamm 67-89, 12487 Berlin, Germany;;;2020-08-21 Завершено
Повязки абсорбирующие для поверхностных ран;'Чжэцзян Кан Ли Ди Медикал Артиклс Ко., Лтд' (Zhejiang Kang Li Di Medical Articles Co., Ltd);, КНР, Дальнее зарубежье, Dongshan Industrial Zone Shangwuzhai, Liushi, Yueqing Zhejiang 325604, China, КНР;322/2013;15.11.2013;ЗАО 'МЕДИТЕК 'Знамя Труда';195027, Россия, г. Санкт-Петербург, ул. Магнитогорская, д. 11, лит. А;128800,144790,128840,147390,128790;2б;Dongshan Industrial Zone Shangwuzhai, Liushi, Yueqing Zhejiang 325604, China;;; 
Автомат для гистологической обработки тканей TDE 30 (декальцинатор) с принадлежностями;'Сакура Файнтек Юроп Б.В.';, Нидерланды, Sakura Finetek Europe B.V., Flemingweg 10A, 2408 AV Alphen Aan Den Rijn, the Netherlands, Нидерланды;835/2015;18.09.2015;ООО 'БиоВитрум';199106, Россия, г. Санкт-Петербург, Большой проспект В. О., д. 68, лит. А;294080;1;Flemingweg 10A, 2408 AV Alphen Aan Den Rijn, the Netherlands;;;2015-10-16 Завершено
Набор реагентов «Тест-система иммуноферментная для выявления антител класса G к индивидуальным белкам цитомегаловируса человека методом иммунного блоттинга» 'ИФА-Блот-ЦМВ-IgG' по ТУ 9398-219-70423725-2015;ЗАО 'ЭКОлаб';142530, Россия, Московская область, г. Электрогорск, ул. Буденного, д. 1, Россия;654/2016;07.07.2016;ЗАО 'ЭКОлаб';142530, Россия, Московская область, г. Электрогорск, ул. Буденного, д. 1;217800;2б;ЗАО 'ЭКОлаб', 142530, Россия, Московская обл., г. Электрогорск, ул. Буденного, д. 1-1А;;;2016-08-31 Завершено
Протез твердой мозговой оболочки 'xenoDURA' по БДКН. 942519.100 ТУ;ООО 'Кардиоплант';440004, Россия, г. Пенза, ул. Центральная, д. 1, Россия;436/2019;04.09.2019;ООО 'Кардиоплант';440004, Россия, г. Пенза, ул. Центральная, д. 1;105610;3;ООО 'Кардиоплант', Россия, 440004, Россия, Пензенская область, г. Пенза, ул. Центральная, д. 1;;;2020-01-17 Завершено
Имплантат для мягких тканей стерильный, для внутрикожной имплантации ALIAXIN (АЛИАКСИН), объемом 1 мл;'РОЗЕ ФАРМА С.А.';, Швейцария, ROSE PHARMA S.A., Via San Gottardo 10, 6900 Lugano, Switzerland, Швейцария;529/2020;27.07.2020;ООО 'МАРУГА';129337, Россия, Москва, Ярославское ш., д. 1, стр. 1, комн. 5;122090;3;REGENYAL LABORATORIES S.R.L., Via Dell'Industria 5/A 06038 Spello (PG), Italia;;;2020-08-28 Завершено
Инструменты Piezon для ультразвуковой обработки корневых каналов аппаратом Piezon в наборах и отдельных упаковках с принадлежностями;'Е.М.С. Электро Медикал Системс С.А.';, Швейцария, E.M.S. Electro Medical Systems S.A., Ch. de la Vuarpilliere 31, 1260 Nyon, Switzerland, Швейцария;655/2016;07.07.2016;ООО 'Эс.Ти.Ай. дент';125362, Россия, Москва, ул. Водников, д. 2;147810;2а;E.M.S. Electro Medical Systems S.A., Ch. de la Vuarpilliere 31, 1260 Nyon, Switzerland;;;2016-10-27 Завершено
Аппарат слуховой внутриканальный воздушной проводимости OPN, SIYA, на платформе Velox;'Отикон А/С';, Дания, Дальнее зарубежье, Oticon A/S, Kongebakken 9, 2765 Sm&#248,rum, Denmark, Дания;531/2020;27.07.2020;ООО 'Исток Аудио Трейдинг';141190, Россия, Московская область, г. Фрязино, Заводской пр-д, д. 3 А;204370;2а;"1. DGS Denmark A/S, Tempovej 15, 2750 Ballerup, Denmark.
2. DGS Poland Sp. z o.o., ul. Lubieszy&#324,ska 59 and 42, 72-006 Mierzyn, Poland.";;;2020-08-20 Завершено
Набор реагентов для выявления ДНК Chlamydophila pneumoniae методом полимеразной цепной реакции в режиме реального времени (РеалБест ДНК Chlamydophila pneumoniae) по ТУ 9398-508-23548172-2015;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, р. п. Кольцово, АБК, Россия;840/2015;18.09.2015;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, р. п. Кольцово, АБК;222430;2б;"1. 630559, Новосибирская область, Новосибирский район, п. Кольцово, Промзона, корпус № 36.
2. 630128, г. Новосибирск, ул. Пасечная, д. 3.";;;2016-02-01 Завершено
Канюля внутривенная одноразовая стерильная Vogt Medical;'Фогт Медикал Фертриб ГмбХ';, Германия, Дальнее зарубежье, Vogt Medical Vertrieb GmbH, R&#252,ppurrer Str. 1A, Haus B, 76137  Karlsruhe, Germany, Германия;642/2016;07.07.2016;ООО 'Фогт Медикаль';117638, Россия, Москва, ул. Одесская, д.2, этаж 7, помещение VII, комната 26;254520;2б;"1. Vogt Medical Vertrieb GmbH, R&#252,ppurrer Str. 1A, Haus B, 76137 Karlsruhe, Germany.
2. La-med Healthcare Pvt. Ltd., Plot № 136, Sector - 24, NIT Faridabad - 121 005, Haryana, India.";;;2016-11-25 Завершено
Набор реагентов для выявления ДНК  Legionella pneumophila методом полимеразной цепной реакции в режиме реального времени (РеалБест ДНК  Legionella pneumophila) по ТУ 9398-509-23548172-2015;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, р. п. Кольцово, АБК, Россия;839/2015;18.09.2015;ЗАО 'Вектор-Бест';630559, Россия, Новосибирская область, Новосибирский район, р. п. Кольцово, АБК;242520;2б;"1. 630559, Новосибирская область, Новосибирский район, п. Кольцово, Промзона, 
корпус № 36.
2. 630128, г. Новосибирск, ул. Пасечная, д. 3.";;;2016-04-05 Завершено
Инструменты Piezon для ультразвуковой чистки зубов аппаратом Piezon в наборах и отдельных упаковках с принадлежностями;'Е.М.С. Электро Медикал Системс С.А.';, Швейцария, E.M.S. Electro Medical Systems S.A., Ch. de la Vuarpilliere 31, 1260 Nyon, Switzerland, Швейцария;643/2016;07.07.2016;ООО 'Эс.Ти.Ай. дент';125362, Россия, Москва, ул. Водников, д. 2;127470;2а;E.M.S. Electro Medical Systems S.A., Ch. de la Vuarpilliere 31, 1260 Nyon, Switzerland;;;2016-10-27 Завершено
Компоненты ортопедические для дентальной имплантации производства BioHorizons в отдельных упаковках с принадлежностями;'БиоГоризонс Имплант Системс, Инк.';, США, BioHorizons Implant Systems, Inc., 2300 Riverchase Center, Birmingham, Alabama, 35244, USA, США;566/2017;24.07.2017;ООО 'АйМакс';117292, Россия, г. Москва, Нахимовский просп., д. 52/27, пом. Б;120550,1203;2а;BioHorizons Implant Systems, Inc., 2300 Riverchase Center, Birmingham, Alabama, 35244, USA;;;2017-08-18 Завершено
Система масс-спектрометрическая ВЭЖХ/МС/МС серии 3200MD для клинической лабораторной диагностики, варианты исполнения: система ВЭЖХ/МС/МС API 3200MD, система ВЭЖХ/МС/МС QTRAP 3200МD;'АБ Скайэкс Пте. Лтд.';, Сингапур, Дальнее зарубежье, AB Sciex Pte. Ltd., 33 Marsiling Ind Estate Road 3 #04-06, Singapore, Сингапур;838/2015;18.09.2015;ООО 'Агентство Химэксперт';119180, Россия, г. Москва, ул. Большая Якиманка, д. 22;107670;2а;#04-05 & 04-06, Blk 33, Marsiling Ind Estate Road 3, Woodlands Central Indus. Estate, 739256, Singapore;;;2015-11-30 Завершено
Гиалуром Тендон раствор гиалуроната натрия 40 мг/2 мл в одноразовых шприцах для введения в сухожилие или околосухожильное пространство;К.О. РОМФАРМ КОМПАНИ С.Р.Л.;, Румыния, S.C. Rompharm Company S.R.L., Jud. Ilfov, Otopeni, Str.Eroilor, Nr. 1A, Rom&#259,nia, Румыния;644/2016;07.07.2016;ООО 'РОМФАРМА';121596, Россия, Москва, ул. Горбунова, д. 2, стр. 204;;3;S.C. Rompharm Company S.R.L., Jud. Ilfov, Otopeni, Str.Drumul Garii, Nr. 52, Rom&#259,nia;;;2016-09-30 Завершено
Инструменты эндоскопические однолезвийные скоблящие по ТУ 32.50.13-003-89134710-2019;ООО 'Эндо Старс';197101, Россия, г. Санкт-Петербург, ул. Большая Монетная, д. 27, лит. А, пом. 12Н, Россия;538/2020;27.07.2020;ООО 'Эндо Старс';197101, Россия, г. Санкт-Петербург, ул. Большая Монетная, д. 27, лит. А, пом. 12Н;;2а;ООО 'Эндо Старс', Россия, 197101, г. Санкт-Петербург, ул. Большая Монетная, д. 27, лит. А, пом. 12Н;;;2020-08-24 Завершено
Система рентгеновская диагностическая передвижная С-дуга BV Vectra с принадлежностями;'Филипс Индия Лимитед';, Индия, Philips India Limited, Plot No. B-79, MIDC, Phase II, Chakan,Taluka: Khed, Village: Savardari, Dist. Pune 410501, Maharashtra, India, Индия;842/2015;18.09.2015;ООО 'Филипс';123022, Россия, Москва, ул. Сергея Макеева, д. 13;209250;2б;Plot No. B-79, MIDC, Phase-II, Chakan,Taluka: Khed, Village: Savardari, Dist. Pune 410501, Maharashtra, India;;;2015-11-17 Завершено
Устройство Pablo для восстановления мелкой, крупной моторики и координации верхних конечностей с оценкой функциональных возможностей при помощи биологической обратной связи с принадлежностями;'Тайромоушен ГмбХ';, Австрия, Tyromotion GmbH, Bahnhofg&#252,rtel 59, 8020 Graz, Austria, Австрия;645/2016;07.07.2016;ЗАО 'СП Бека-Хоспитек';124489, Россия, г. Москва, г. Зеленоград, Сосновая аллея, д. 6А, стр. 1;110440;2а;Tyromotion GmbH, Bahnhofg&#252,rtel 59, 8020 Graz, Austria;;;2016-08-01 Завершено
Аппарат слуховой заушный воздушной проводимости OPN, SIYA, на платформе Velox, с принадлежностями;'Отикон А/С';, Дания, Дальнее зарубежье, Oticon A/S, Kongebakken 9, 2765 Sm&#248,rum, Denmark, Дания;530/2020;27.07.2020;ООО 'Исток Аудио Трейдинг';141190, Россия, Московская область, г. Фрязино, Заводской пр-д, д. 3А;228560;2а;"1. DGS Denmark A/S, Tempovej 15, 2750 Ballerup, Denmark.
2. DGS Poland Sp. z o.o., ul. Lubieszy&#324,ska 59 and 42, 72-006 Mierzyn, Poland.";;;2020-08-20 Завершено
Перчатки хирургические стерильные полихлоропреновые неопудренные «Clean + Safe»;'ТЕРАНГ НУСА СДН. БХД.';, Малайзия, Дальнее зарубежье, TERANG NUSA SDN. BHD., No. 1, Jalan 8, Pengkalan Chepa 2 Industrial Zone, 16100 Kota Bharu, Kelantan Darul Naim, Malaysia, Малайзия;841/2015;21.09.2015;ООО 'ГЛОМАКО';196128, Россия, г. Санкт-Петербург, ул. Варшавская, д. 5, к. 2А, офис 604-А;139310;2а;1, Jalan 8, Pengkalan Chepa 2 Industrial Zone, 16100 Kota Bharu, Kelantan, Malaysia;;;2015-12-25 Завершено
Элементы ортопедические постоянные для дентальной имплантации и зубного протезирования с принадлежностями;'Альфа-Био Тек Лтд.';, Израиль, Alpha-Bio Tec Ltd., 7 Hatnufa St., Kiryat Arye, POB 3936, Petach Tikva, 49510, Israel, Израиль;646/2016;07.07.2016;ООО 'Синерджи Консалтинг';127562, Россия, г. Москва, ул. Хачатуряна, д. 12, корп. 1;120550;2а;Alpha-Bio Tec Ltd., 7 Hatnufa St., Kiryat Arye, POB 3936, Petach Tikva, 49510, Israel;;;2016-09-30 Завершено
Нагреватель медицинских сред 'ИРИС' (IRIS) по ТУ 9452-002-38162260-2014;ООО 'ЛАТТАНТЕ';195196, Россия, г. Санкт-Петербург, Новочеркасский пр-кт, д. 47, корп. 1, офис 28, Россия;886/2015;21.09.2015;ООО 'ЛАТТАНТЕ';195196, Россия, г. Санкт-Петербург, Новочеркасский пр-кт, д. 47, корп. 1, офис 28;293820;2а;195009, Санкт-Петербург, ул. Ватутина, д. 19, лит. А, офис №104;;;2015-10-30 Завершено
Система дентальной имплантации, варианты исполнения: NICE, ICE, NEO;'Альфа-Био Тек Лтд.';, Израиль, Alpha-Bio Tec Ltd., 7 Hatnufa St., Kiryat Arye, POB 3936, Petach Tikva, 4951025, Israel, Израиль;648/2016;07.07.2016;ООО 'Н.СЕЛЛА';111033, Россия, г. Москва, ул. Волочаевская, д. 12А, стр. 1;120500;2б;Alpha-Bio Tec Ltd., 7 Hatnufa St., Kiryat Arye, POB 3936, Petach Tikva, 4951025, Israel;;;2016-07-18 Завершено
Изотонический раствор морской воды в виде назального спрея Викс АкваБэби (Vicks AquaBaby);'Меркле ГмбХ';, Германия, Merckle GmbH, Ludwig-Merckle-Stra&#223,e 3, 89143 Blaubeuren, Germany, Германия;887/2015;21.09.2015;ООО 'Тева';115054, Россия, Москва, ул. Валовая, д. 35;206110;2а;"1. Graf-Arco-Stra&#223,e 3, 89079 Ulm, Germany.
2. Ludwig-Merckle-Stra&#223,e 3, 89143 Blaubeuren, Germany.";;;2015-10-16 Завершено
Контрольный раствор Медикеа-Лис (MediCare - Lis): нормальный уровень (Normal  Level), высокий уровень (High Level);'Л-ТАК МЕДИКЕА ПТЕ. ЛТД.';, Сингапур, L-TAC MEDICARE PTE. LTD., 25 Mandai Estate, #07-11, Innovation Place Tower 1, 729930, Singapore, Сингапур;649/2016;07.07.2016;ООО 'Формула-ФР';105043, Россия, г. Москва, ул. Первомайская, д. 35/18;248950;2б;OK Biotech Co., Ltd., No. 91, Sec. 2, Gongdao 5th Rоаd,  30070 Hsinchu City, Taiwan;;;2016-09-26 Завершено
Система транскатетерной доставки окклюдера по НАЕФ.942511.018 ТУ;ООО 'НаноМед';440068, Россия, Пензенская область, г. Пенза, ул. Центральная, д. 1, Россия;435/2019;04.09.2019;ООО 'НаноМед';440068, Россия, Пензенская область, г. Пенза, ул. Центральная, д. 1;178380;3;ООО 'НаноМед', 440068, Россия, Пензенская область, г. Пенза, ул. Центральная, д. 1;;;2019-11-08 Завершено
Микрохирургические ножи PremierEdge;'ОАЗИС Медикал, Инк.';, США, Дальнее зарубежье, OASIS Medical, Inc., 510-528 S. Vermont Avenue, Glendora, CA 91741, USA, США;848/2015;21.09.2015;ООО 'Инфо-Экс';119530, Россия, г. Москва, Угловой переулок, д.2, пом. 22, ком. 3;171840;2а;510-528 S. Vermont Avenue, Glendora CA 91741, USA;;;2015-10-22 Завершено
Помпа медицинская Viva Vesta, варианты исполнения: SN-50T66R, SN-50T66, SN-50F66R, SN-50F66, SN-50F6, SN-50C66TR, SN-50C66T, SN-50C6T, SN-50C66R, SN-50C66, SN-50C6, SN-1500H, SN-1500HR с принадлежностями;'Сино Медикал-Дивайс Технолоджи Ко., Лтд.';, КНР, Sino Medical-Device Technology Co., Ltd., 6th Floor, Building 15, №1008, Songbai Road, Nanshan District, 518055 Shenzhen, P.R. China, КНР;647/2016;07.07.2016;ООО 'МедИнВест';123007, Россия, г. Москва, 2-ой Хорошевский пр., д. 7, корп. 1;;2а;Sino Medical-Device Technology Co., Ltd., 6th Floor, Building 15, №1008, Songbai Road, Nanshan District, 518055 Shenzhen, P. R. China;;;2016-11-17 Завершено
Морозильник ультранизкотемпературный медицинский УММ-130/150 по ТУ 9452-001-08620202-2016;ООО 'ГРАН';425000, Россия, Республика Марий Эл, г. Волжск, Промышленная ул, дом 1, Россия;434/2019;04.09.2019;АО 'ЦНИИ 'Курс';105187, Россия, г. Москва, ул. Кирпичная, д. 34а;275290;2а;;;;2021-01-18 Проводится
Наборы стоматологические для восстановления коронковой части зуба с принадлежностями;'МАЙЛЛЕФЕР ИНСТРУМЕНТС ХОЛДИНГ Сарл';, Швейцария, MAILLEFER INSTRUMENTS HOLDING S&#224,rl, 3 chemin du Verger, 1338, Ballaigues, Switzerland, Швейцария;847/;21.09.2015;ООО 'Дентсплай РУ';129090, Россия, Москва, Проспект Мира, д. 6;121400;2а;"1. MAILLEFER INSTRUMENTS HOLDING Sarl, 3 chemin du Verger, 1338, Ballaigues, Switzerland.
2. R.T.D., 3 rue Louis Neel Technoparc Espace Gavani&#1104,re, 38120 Saint Egreve, France.";;;2015-11-09 Завершено
